model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose
simgp24,uncertainty,11,5,0.1233877596192248,0.8571428571428571,0.9230769230769231,0.888888888888889,26,0.7530864197530864,0.5308641975308642,0.7037037037037037,0.8024691358024691,0.14168182907495322,0.8260869565217391,0.9629629629629629,0.25,0.6,1.0,1.0,1.0,0.9
simgp24,uncertainty,12,5,0.12185432998498227,0.9230769230769231,0.9230769230769231,0.9230769230769231,26,0.725,0.5375,0.7125,0.7875,0.12130786988088903,0.8260869565217391,0.9625,0.25,0.6,1.0,1.0,1.0,0.9
simgp24,uncertainty,13,5,0.11919571133998548,0.92,0.92,0.92,25,0.7215189873417721,0.5316455696202531,0.7088607594936709,0.7848101265822784,0.12225234914003026,0.8181818181818182,0.9620253164556962,0.25,0.6,1.0,1.0,1.0,0.9
simgp24,uncertainty,14,5,0.11655027987238803,0.7857142857142857,0.9166666666666666,0.8461538461538461,24,0.7948717948717948,0.46153846153846156,0.7435897435897436,0.8461538461538461,0.13813359716343826,0.8571428571428571,0.9743589743589743,0.25,0.6,1.0,1.0,1.0,0.9
simgp24,uncertainty,15,5,0.11438781590472677,0.8148148148148148,0.9166666666666666,0.8627450980392156,24,0.7792207792207793,0.42857142857142855,0.7532467532467533,0.8571428571428571,0.13755469266489084,0.8571428571428571,0.974025974025974,0.25,0.6,1.0,1.0,1.0,0.9
simgp24,straddle,3,5,0.11286927257940978,0.8461538461538461,0.9705882352941176,0.9041095890410958,34,0.7752808988764045,0.5168539325842697,0.7415730337078652,0.8651685393258427,0.16846729170948732,0.9,0.9775280898876404,0.7,0.6,1.0,0.85,0.9,0.9
simgp24,straddle,4,5,0.11266499015870408,0.8888888888888888,0.9696969696969697,0.927536231884058,33,0.7613636363636364,0.6022727272727273,0.75,0.8295454545454546,0.17067760798527282,0.896551724137931,0.9886363636363636,0.1,1.0,1.0,1.15,1.1,1.05
simgp24,straddle,5,5,0.09442471997914821,0.8484848484848485,0.875,0.8615384615384615,32,0.8045977011494253,0.5402298850574713,0.7586206896551724,0.8505747126436781,0.1341767894342496,0.896551724137931,1.0,0.1,1.0,1.0,1.15,1.1,1.0
simgp24,straddle,6,5,0.08865617083964585,0.8666666666666667,0.8387096774193549,0.8524590163934426,31,0.8255813953488372,0.4883720930232558,0.7790697674418605,0.8837209302325582,0.12335720821365802,0.8928571428571429,1.0,0.1,1.0,1.0,1.15,1.1,1.05
simgp24,straddle,7,5,0.09463996804658621,0.896551724137931,0.8666666666666667,0.8813559322033899,30,0.8117647058823529,0.38823529411764707,0.6705882352941176,0.8588235294117647,0.10600066819387542,0.8518518518518519,0.9764705882352941,0.1,1.0,1.0,1.15,1.1,1.05
simgp24,straddle,8,5,0.08673104012718821,0.8275862068965517,0.8275862068965517,0.8275862068965517,29,0.7738095238095238,0.5,0.75,0.8095238095238095,0.14331762188434,0.8846153846153846,0.9047619047619048,0.1,1.0,1.0,1.0,1.0,1.05
simgp24,straddle,9,5,0.08922037702812959,0.8214285714285714,0.8214285714285714,0.8214285714285714,28,0.7951807228915663,0.4578313253012048,0.7349397590361446,0.7951807228915663,0.15381374156966005,0.88,0.7831325301204819,0.1,1.0,1.0,1.0,1.0,1.05
simgp24,straddle,10,5,0.09159282159749908,0.8148148148148148,0.8148148148148148,0.8148148148148148,27,0.7439024390243902,0.4024390243902439,0.6951219512195121,0.7804878048780488,0.1547349109494773,0.875,0.7804878048780488,0.1,1.0,0.5,1.0,1.0,1.05
simgp24,straddle,11,5,0.09300292110273828,0.8076923076923077,0.8076923076923077,0.8076923076923077,26,0.7777777777777778,0.43209876543209874,0.7283950617283951,0.8024691358024691,0.15431100356289623,0.8695652173913043,0.9012345679012346,0.1,1.0,0.5,1.0,1.0,1.05
simgp24,straddle,12,5,0.09250556036654692,0.7777777777777778,0.84,0.8076923076923077,25,0.8875,0.4125,0.725,0.9625,0.15743241750255937,0.8636363636363636,0.9,0.1,1.0,0.5,1.0,1.0,1.05
simgp24,straddle,13,5,0.09968200795390451,0.7407407407407407,0.8333333333333334,0.7843137254901961,24,0.7088607594936709,0.2911392405063291,0.6708860759493671,0.7721518987341772,0.16408548282970287,0.8571428571428571,0.7848101265822784,0.1,1.0,0.5,1.0,1.0,1.05
simgp24,straddle,14,5,0.10000652472033501,0.7307692307692307,0.8260869565217391,0.7755102040816326,23,0.8717948717948718,0.3717948717948718,0.7307692307692307,0.9743589743589743,0.16295257439070013,0.85,0.9230769230769231,0.1,1.0,0.5,1.0,1.0,1.05
simgp24,straddle,15,5,0.10216600306731516,0.75,0.8181818181818182,0.7826086956521738,22,0.7532467532467533,0.2857142857142857,0.6883116883116883,0.7922077922077922,0.16291990172983883,0.8421052631578947,0.8961038961038961,0.1,1.0,0.5,1.0,1.0,1.05
simgp24,straddle_min,3,5,0.11286927257940978,0.8461538461538461,0.9705882352941176,0.9041095890410958,34,0.7752808988764045,0.5168539325842697,0.7415730337078652,0.8651685393258427,0.16846729170948732,0.9,0.9775280898876404,0.7,0.6,1.0,0.85,0.9,0.9
simgp24,straddle_min,4,5,0.11328341009771914,0.8888888888888888,0.9696969696969697,0.927536231884058,33,0.7386363636363636,0.5568181818181818,0.7159090909090909,0.7954545454545454,0.12754289394923954,0.8,0.9659090909090909,0.1,1.0,0.0,1.15,0.9,0.95
simgp24,straddle_min,5,5,0.10496864247918276,0.9411764705882353,0.9696969696969697,0.955223880597015,33,0.735632183908046,0.5287356321839081,0.7241379310344828,0.7586206896551724,0.11767351708085873,0.8333333333333334,0.9770114942528736,0.1,1.0,0.0,1.15,0.9,1.0
simgp24,straddle_min,6,5,0.10695299281259438,0.9393939393939394,0.96875,0.9538461538461539,32,0.7325581395348837,0.5232558139534884,0.6627906976744186,0.7790697674418605,0.11992800974080718,0.8620689655172413,0.9651162790697675,0.25,0.6,1.0,1.0,0.9,0.9
simgp24,straddle_min,7,5,0.11984464028818313,0.9375,0.967741935483871,0.9523809523809523,31,0.7058823529411765,0.4823529411764706,0.6823529411764706,0.7411764705882353,0.13042175007030185,0.8620689655172413,0.9529411764705882,0.1,1.0,0.0,1.15,0.9,1.0
simgp24,straddle_min,8,5,0.11944355301584292,0.9375,0.967741935483871,0.9523809523809523,31,0.7380952380952381,0.39285714285714285,0.6309523809523809,0.7857142857142857,0.137594790766328,0.8620689655172413,0.9285714285714286,0.1,1.0,0.0,1.15,0.9,1.0
simgp24,straddle_min,9,5,0.12032835106152083,0.9354838709677419,0.9666666666666667,0.9508196721311476,30,0.6867469879518072,0.3855421686746988,0.6265060240963856,0.7951807228915663,0.1314918797635948,0.8214285714285714,0.927710843373494,0.25,0.6,1.0,1.0,0.9,0.9
simgp24,straddle_min,10,5,0.13148824070406448,0.9354838709677419,0.9666666666666667,0.9508196721311476,30,0.7195121951219512,0.36585365853658536,0.5853658536585366,0.7804878048780488,0.15220085668271519,0.8928571428571429,0.8780487804878049,0.25,1.0,1.0,1.15,1.1,1.1
simgp24,straddle_min,11,5,0.13368225084965102,0.9354838709677419,0.9666666666666667,0.9508196721311476,30,0.7407407407407407,0.35802469135802467,0.5802469135802469,0.7901234567901234,0.15646560314684438,0.8928571428571429,0.8765432098765432,0.25,1.0,1.0,1.15,1.1,1.05
simgp24,straddle_min,12,5,0.137833872080979,0.9032258064516129,0.9655172413793104,0.9333333333333333,29,0.675,0.375,0.5875,0.7375,0.14037407584800649,0.8571428571428571,0.925,0.25,1.0,1.0,1.15,1.1,1.05
simgp24,straddle_min,13,5,0.14750502069511873,0.8055555555555556,1.0,0.8923076923076924,29,0.620253164556962,0.4177215189873418,0.5569620253164557,0.6835443037974683,0.18422800460024005,0.9642857142857143,0.6835443037974683,0.4,1.0,1.0,1.0,1.0,1.1
simgp24,straddle_min,14,5,0.14990560375432427,0.8285714285714286,1.0,0.90625,29,0.6025641025641025,0.3333333333333333,0.5128205128205128,0.6282051282051282,0.18954966271316634,0.9642857142857143,0.5897435897435898,0.4,1.0,1.0,1.0,1.0,1.1
simgp24,straddle_min,15,5,0.14198612302750246,0.8484848484848485,1.0,0.9180327868852458,28,0.5714285714285714,0.3246753246753247,0.5194805194805194,0.6103896103896104,0.17206074171715674,1.0,0.7142857142857143,0.4,1.0,1.0,1.0,1.0,1.1
simgp24,random,3,6,0.04196662573016767,0.8529411764705882,1.0,0.9206349206349206,29,1.0,0.8651685393258427,0.9887640449438202,1.0,0.15728135962614292,1.0,0.9887640449438202,0.55,0.6,0.5,1.0,1.0,0.95
simgp24_g75,random,3,6,0.04970903197023474,0.8055555555555556,1.0,0.8923076923076924,29,0.8202247191011236,0.48314606741573035,0.7078651685393258,0.8539325842696629,,,,,,,,,
simgp_timeblind,random,3,6,0.22571493820332622,1.0,0.3103448275862069,0.4736842105263158,29,0.4044943820224719,,,,0.18242871020534812,0.42857142857142855,0.8426966292134831,,,,,,
mean_of_samples,random,3,6,0.3242112360669697,1.0,0.0,0.0,29,0.0,,,,0.29086978148402687,0.0,0.0,,,,,,
simgp24,random,4,6,0.06590448353673212,0.9032258064516129,1.0,0.9491525423728813,28,0.9772727272727273,0.5113636363636364,0.9545454545454546,0.9886363636363636,0.10060768945985706,0.4,1.0,0.1,0.6,1.0,1.15,1.1,0.9
simgp24_g75,random,4,6,0.221976399923241,0.5833333333333334,1.0,0.7368421052631579,28,0.5227272727272727,0.17045454545454544,0.38636363636363635,0.5795454545454546,,,,,,,,,
simgp_timeblind,random,4,6,0.2088595382564481,1.0,0.32142857142857145,0.4864864864864865,28,0.42045454545454547,,,,0.19225871290778632,0.35,0.7272727272727273,,,,,,
mean_of_samples,random,4,6,0.2824960098016645,1.0,0.0,0.0,28,0.0,,,,0.29833865362408435,0.0,0.0,,,,,,
simgp24,random,5,6,0.06062812234453491,0.9032258064516129,1.0,0.9491525423728813,28,0.9770114942528736,0.5057471264367817,0.9310344827586207,0.9885057471264368,0.09845676018415009,0.4,1.0,0.1,0.6,1.0,1.15,1.1,0.9
simgp24_g75,random,5,6,0.1890063103906374,0.6666666666666666,1.0,0.8,28,0.5862068965517241,0.13793103448275862,0.5057471264367817,0.735632183908046,,,,,,,,,
simgp_timeblind,random,5,6,0.20945809867495047,1.0,0.32142857142857145,0.4864864864864865,28,0.40229885057471265,,,,0.1940265153010034,0.35,0.6896551724137931,,,,,,
mean_of_samples,random,5,6,0.3100037425842703,1.0,0.0,0.0,28,0.0,,,,0.2888383185150156,0.0,0.0,,,,,,
simgp24,random,6,6,0.04853749304434814,0.9,1.0,0.9473684210526316,27,0.9883720930232558,0.7093023255813954,0.9767441860465116,1.0,0.09605454355097837,0.7894736842105263,1.0,0.1,0.6,1.0,1.15,1.1,0.9
simgp24_g75,random,6,6,0.19333230114370803,0.6,1.0,0.7499999999999999,27,0.38372093023255816,0.12790697674418605,0.313953488372093,0.5232558139534884,,,,,,,,,
simgp_timeblind,random,6,6,0.20592302352914338,1.0,0.37037037037037035,0.5405405405405406,27,0.3372093023255814,,,,0.1944760579383832,0.3684210526315789,0.5465116279069767,,,,,,
mean_of_samples,random,6,6,0.2899828303224948,1.0,0.0,0.0,27,0.0,,,,0.2930213852512899,0.0,0.0,,,,,,
simgp24,random,7,6,0.044909195431292424,0.9310344827586207,1.0,0.9642857142857143,27,0.9764705882352941,0.7411764705882353,0.9529411764705882,1.0,0.0796867356924407,0.7894736842105263,1.0,0.25,0.6,1.0,1.15,1.1,0.9
simgp24_g75,random,7,6,0.20734810888090735,0.5869565217391305,1.0,0.7397260273972603,27,0.3058823529411765,0.15294117647058825,0.24705882352941178,0.35294117647058826,,,,,,,,,
simgp_timeblind,random,7,6,0.19422268787993532,1.0,0.48148148148148145,0.65,27,0.4235294117647059,,,,0.20955563010794237,0.3684210526315789,0.5411764705882353,,,,,,
mean_of_samples,random,7,6,0.2749757652641412,1.0,0.0,0.0,27,0.0,,,,0.30233684799995897,0.0,0.0,,,,,,
simgp24,random,8,6,0.06991079783564243,0.9310344827586207,1.0,0.9642857142857143,27,0.9642857142857143,0.75,0.9523809523809523,0.9880952380952381,0.09798612612625864,0.6842105263157895,1.0,0.25,0.6,1.0,1.15,1.1,0.9
simgp24_g75,random,8,6,0.20492542058371616,0.627906976744186,1.0,0.7714285714285715,27,0.2976190476190476,0.14285714285714285,0.25,0.32142857142857145,,,,,,,,,
simgp_timeblind,random,8,6,0.18937340337397215,1.0,0.48148148148148145,0.65,27,0.42857142857142855,,,,0.215192860158177,0.3684210526315789,0.5119047619047619,,,,,,
mean_of_samples,random,8,6,0.2740342556647972,1.0,0.0,0.0,27,0.0,,,,0.30572413763122824,0.0,0.0,,,,,,
simgp24,random,9,6,0.055411936688257356,0.9,1.0,0.9473684210526316,27,0.9759036144578314,0.7349397590361446,0.963855421686747,0.9879518072289156,0.10208444475074978,0.8421052631578947,1.0,0.25,0.6,1.0,1.15,1.1,0.9
simgp24_g75,random,9,6,0.19587432446356617,0.627906976744186,1.0,0.7714285714285715,27,0.2891566265060241,0.1566265060240964,0.24096385542168675,0.3132530120481928,,,,,,,,,
simgp_timeblind,random,9,6,0.19708302371987274,1.0,0.48148148148148145,0.65,27,0.3855421686746988,,,,0.21259447928256223,0.3684210526315789,0.5301204819277109,,,,,,
mean_of_samples,random,9,6,0.28189034192139156,1.0,0.0,0.0,27,0.0,,,,0.3020371361354155,0.0,0.0,,,,,,
simgp24,random,10,6,0.11955325059009231,0.8125,1.0,0.896551724137931,26,0.8658536585365854,0.4634146341463415,0.8536585365853658,0.9024390243902439,0.0869645493912125,1.0,1.0,0.25,0.6,1.0,1.15,1.1,0.9
simgp24_g75,random,10,6,0.14423472797130135,0.7428571428571429,1.0,0.8524590163934427,26,0.5609756097560976,0.10975609756097561,0.35365853658536583,0.7073170731707317,,,,,,,,,
simgp_timeblind,random,10,6,0.19389075041213494,1.0,0.5384615384615384,0.7000000000000001,26,0.3902439024390244,,,,0.21003665498653448,0.4444444444444444,0.5487804878048781,,,,,,
mean_of_samples,random,10,6,0.2699778529945646,1.0,0.0,0.0,26,0.0,,,,0.3103538114719208,0.0,0.0,,,,,,
simgp24,random,11,6,0.11779795608686386,0.7878787878787878,1.0,0.8813559322033898,26,0.8765432098765432,0.41975308641975306,0.8518518518518519,0.9382716049382716,0.08505359991412596,0.9444444444444444,1.0,0.25,0.6,1.0,1.15,1.1,0.9
simgp24_g75,random,11,6,0.15644041536727388,0.7222222222222222,1.0,0.8387096774193548,26,0.5308641975308642,0.12345679012345678,0.3333333333333333,0.7037037037037037,,,,,,,,,
simgp_timeblind,random,11,6,0.19698868215760887,1.0,0.5384615384615384,0.7000000000000001,26,0.38271604938271603,,,,0.21045413432219764,0.4444444444444444,0.5432098765432098,,,,,,
mean_of_samples,random,11,6,0.2754821011522776,1.0,0.0,0.0,26,0.0,,,,0.30792190942087627,0.0,0.0,,,,,,
simgp24,random,12,6,0.11522067904438939,0.8125,1.0,0.896551724137931,26,0.875,0.4375,0.85,0.9375,0.08624039537420773,0.9444444444444444,1.0,0.25,0.6,1.0,1.15,1.1,0.9
simgp24_g75,random,12,6,0.12078010624961813,0.7428571428571429,1.0,0.8524590163934427,26,0.775,0.225,0.6125,0.825,,,,,,,,,
simgp_timeblind,random,12,6,0.18703749927859553,1.0,0.5384615384615384,0.7000000000000001,26,0.3875,,,,0.20888507934956813,0.4444444444444444,0.55,,,,,,
mean_of_samples,random,12,6,0.2867789742047487,1.0,0.0,0.0,26,0.0,,,,0.3022495996163664,0.0,0.0,,,,,,
simgp24,random,13,6,0.11063344234725524,0.8387096774193549,1.0,0.9122807017543859,26,0.8734177215189873,0.45569620253164556,0.8734177215189873,0.9240506329113924,0.08698578105480718,0.9444444444444444,1.0,0.25,0.6,1.0,1.15,1.1,0.9
simgp24_g75,random,13,6,0.13454009730232258,0.7428571428571429,1.0,0.8524590163934427,26,0.5569620253164557,0.10126582278481013,0.35443037974683544,0.7088607594936709,,,,,,,,,
simgp_timeblind,random,13,6,0.19191745768716306,1.0,0.5384615384615384,0.7000000000000001,26,0.34177215189873417,,,,0.20419853085828002,0.4444444444444444,0.5189873417721519,,,,,,
mean_of_samples,random,13,6,0.29458535834554317,1.0,0.0,0.0,26,0.0,,,,0.29904125722158315,0.0,0.0,,,,,,
simgp24,random,14,6,0.10186748671397515,0.8387096774193549,1.0,0.9122807017543859,26,0.8846153846153846,0.47435897435897434,0.8846153846153846,0.9487179487179487,0.0861810263737551,0.9444444444444444,1.0,0.25,0.6,1.0,1.15,1.1,0.9
simgp24_g75,random,14,6,0.12484866758652204,0.7428571428571429,1.0,0.8524590163934427,26,0.5512820512820513,0.10256410256410256,0.34615384615384615,0.717948717948718,,,,,,,,,
simgp_timeblind,random,14,6,0.1934203282591721,1.0,0.5384615384615384,0.7000000000000001,26,0.3333333333333333,,,,0.20601963130850182,0.4444444444444444,0.5,,,,,,
mean_of_samples,random,14,6,0.323725811543967,1.0,0.0,0.0,26,0.0,,,,0.2867559204098844,0.0,0.0,,,,,,
simgp24,random,15,6,0.09868021085818574,0.8387096774193549,1.0,0.9122807017543859,26,0.8961038961038961,0.4675324675324675,0.8831168831168831,0.935064935064935,0.08787242330730215,1.0,1.0,0.25,0.6,1.0,1.15,1.1,0.9
simgp24_g75,random,15,6,0.10130094721950166,0.7647058823529411,1.0,0.8666666666666666,26,0.8051948051948052,0.2857142857142857,0.7272727272727273,0.8961038961038961,,,,,,,,,
simgp_timeblind,random,15,6,0.1887891988099878,1.0,0.5384615384615384,0.7000000000000001,26,0.33766233766233766,,,,0.20986731056446853,0.4444444444444444,0.4805194805194805,,,,,,
mean_of_samples,random,15,6,0.32198308112229906,1.0,0.0,0.0,26,0.0,,,,0.2883921641077217,0.0,0.0,,,,,,
simgp24,uncertainty,3,6,0.04196662573016767,0.8529411764705882,1.0,0.9206349206349206,29,1.0,0.8651685393258427,0.9887640449438202,1.0,0.15728135962614292,1.0,0.9887640449438202,0.55,0.6,0.5,1.0,1.0,0.95
simgp24,uncertainty,4,6,0.05764716129454299,0.8,1.0,0.888888888888889,28,0.9886363636363636,0.5909090909090909,0.9090909090909091,0.9886363636363636,0.15582566020719674,1.0,0.9886363636363636,0.4,0.6,0.0,1.15,0.9,0.9
simgp24,uncertainty,5,6,0.07100911517077516,0.8709677419354839,1.0,0.9310344827586207,27,0.9425287356321839,0.6896551724137931,0.8620689655172413,0.9540229885057471,0.0768233947038492,0.95,1.0,0.55,0.6,0.0,1.0,0.9,1.0
simgp24,uncertainty,6,6,0.04260633270158963,0.8666666666666667,1.0,0.9285714285714286,26,0.9883720930232558,0.6511627906976745,0.8953488372093024,1.0,0.11402133131876224,1.0,0.9651162790697675,0.4,0.6,0.5,1.15,0.9,0.95
