model,strategy,n,seed,rmse,mae,precision,recall,f1,n_true_viol,coverage90,coverage50,coverage80,coverage95,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose,recall_all
simgp_core_g75,random,10,2,0.04801448998691318,0.032941142461265484,0.9375,0.9375,0.9375,16,0.8780487804878049,0.6707317073170732,0.8658536585365854,0.926829268292683,,,,,,,
physgp_core,random,10,2,0.14970542008201804,0.10419108786709647,0.9333333333333333,0.875,0.9032258064516129,16,0.7195121951219512,0.4268292682926829,0.6097560975609756,0.7439024390243902,,,,,,,
physgp_rich,random,10,2,0.14739947430536277,0.10228644690386349,0.9333333333333333,0.875,0.9032258064516129,16,0.7560975609756098,0.4634146341463415,0.6829268292682927,0.7804878048780488,,,,,,,
simgp_rich,random,10,2,0.05546708798557286,0.04000883453027794,1.0,0.5625,0.72,16,1.0,0.8292682926829268,0.9878048780487805,1.0,,,,,,,
pinn_rich,random,10,2,0.2288081948457624,0.14114777097122405,1.0,0.125,0.2222222222222222,16,0.47560975609756095,0.3170731707317073,0.4146341463414634,0.5,,,,,,,
mean_of_samples,random,10,2,0.28047539723286685,0.2252130492832428,1.0,0.0,0.0,16,,,,,,,,,,,
nearest_sample,random,10,2,0.26220123011367963,0.17342077437411438,0.25,0.0625,0.1,16,,,,,,,,,,,
decay_only,random,10,2,0.16050420347852584,0.12347508966017966,0.9333333333333333,0.875,0.9032258064516129,16,,,,,,,,,,,
simgp_core,random,11,2,0.04808375140884604,0.031807569293077174,1.0,0.5625,0.72,16,1.0,0.8888888888888888,1.0,1.0,0.25,0.6,1.0,0.85,1.1,1.0,0.5625
simgp_core_nogp,random,11,2,0.04854919477297869,0.03226077215510051,1.0,0.5625,0.72,16,1.0,0.8888888888888888,0.9876543209876543,1.0,,,,,,,
simgp_core_g75,random,11,2,0.046323136709246,0.03146601075988102,0.9375,0.9375,0.9375,16,0.8518518518518519,0.6296296296296297,0.8395061728395061,0.9135802469135802,,,,,,,
physgp_core,random,11,2,0.13120221280115932,0.09221790210115001,0.9333333333333333,0.875,0.9032258064516129,16,0.7037037037037037,0.4444444444444444,0.5432098765432098,0.7407407407407407,,,,,,,
physgp_rich,random,11,2,0.13254372321153357,0.09228364856747455,0.9333333333333333,0.875,0.9032258064516129,16,0.7654320987654321,0.49382716049382713,0.6666666666666666,0.7777777777777778,,,,,,,
simgp_rich,random,11,2,0.05283733449379998,0.03766544965997179,1.0,0.5625,0.72,16,1.0,0.8271604938271605,0.9876543209876543,1.0,,,,,,,
mean_of_samples,random,11,2,0.2866961563581255,0.2265085043857684,1.0,0.0,0.0,16,,,,,,,,,,,
nearest_sample,random,11,2,0.24166285272428073,0.15578556743651287,0.25,0.0625,0.1,16,,,,,,,,,,,
decay_only,random,11,2,0.15208188085653598,0.1211894059484561,0.9333333333333333,0.875,0.9032258064516129,16,,,,,,,,,,,
simgp_core,random,12,2,0.048211562431425915,0.03167289532758122,1.0,0.5625,0.72,16,1.0,0.8875,1.0,1.0,0.25,0.6,1.0,0.85,1.1,1.0,0.5625
simgp_core_nogp,random,12,2,0.048737706550437535,0.032172343829151025,1.0,0.5625,0.72,16,1.0,0.8875,0.9875,1.0,,,,,,,
