model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma
simgp_timeblind,random,14,2,0.19444638986550536,1.0,0.37037037037037035,0.5405405405405406,27,0.24358974358974358,0.20958427602943144,0.29411764705882354,0.3076923076923077,,,
mean_of_samples,random,14,2,0.3526754778711973,1.0,0.0,0.0,27,0.0,0.32359443797796145,0.0,0.0,,,
simgp24,random,15,2,0.1656557811208255,0.7105263157894737,1.0,0.8307692307692308,27,0.4025974025974026,0.22374720823677036,1.0,0.8961038961038961,0.4,0.6,1.0
simgp_timeblind,random,15,2,0.18756719954606563,1.0,0.4444444444444444,0.6153846153846153,27,0.3246753246753247,0.21184807746351442,0.35294117647058826,0.33766233766233766,,,
mean_of_samples,random,15,2,0.34003588496256326,1.0,0.0,0.0,27,0.0,0.3236047743994946,0.0,0.0,,,
simgp24,uncertainty,3,2,0.05060406671622995,0.8235294117647058,1.0,0.9032258064516129,28,0.8876404494382022,0.22174551909419105,0.8823529411764706,0.3595505617977528,0.4,0.6,0.5
simgp24,uncertainty,4,2,0.0554139873665759,0.8709677419354839,1.0,0.9310344827586207,27,0.8181818181818182,0.2231438431802584,0.875,0.6704545454545454,0.55,0.6,0.0
simgp24,uncertainty,5,2,0.07895354658696102,0.8620689655172413,0.9615384615384616,0.9090909090909091,26,0.8275862068965517,0.2128129734275428,0.6,0.7816091954022989,0.7,0.3,1.0
simgp24,uncertainty,6,2,0.059812887581224265,0.8461538461538461,0.88,0.8627450980392156,25,0.8953488372093024,0.21815779038927988,0.6428571428571429,0.5930232558139535,0.7,0.3,1.0
simgp24,uncertainty,7,2,0.09593119620374707,0.84,0.875,0.8571428571428572,24,0.9411764705882353,0.2491141551503351,0.7692307692307693,0.8117647058823529,0.7,0.3,1.0
simgp24,uncertainty,8,2,0.09190131678506104,0.84,0.875,0.8571428571428572,24,0.9404761904761905,0.24859490873955128,0.7692307692307693,0.7976190476190477,0.7,0.3,1.0
simgp24,uncertainty,9,2,0.0837325494151989,0.84,0.875,0.8571428571428572,24,0.9156626506024096,0.24832305057858967,0.7692307692307693,0.7228915662650602,0.7,0.3,1.0
simgp24,uncertainty,10,2,0.0746481801873309,0.8260869565217391,0.8260869565217391,0.8260869565217391,23,0.9024390243902439,0.2373596943994697,0.6666666666666666,0.7804878048780488,0.7,0.3,0.0
simgp24,uncertainty,11,2,0.6569812037187863,0.875,0.9545454545454546,0.9130434782608695,22,0.8518518518518519,0.7278115951444439,0.5,0.8024691358024691,0.7,0.3,1.0
simgp24,uncertainty,12,2,0.1126870021225459,0.84,1.0,0.9130434782608696,21,0.975,0.22000637680786653,1.0,0.9375,0.4,0.6,0.0
simgp24,uncertainty,13,2,0.20394946247128665,0.8260869565217391,0.95,0.8837209302325583,20,0.9620253164556962,0.309074751705528,0.9166666666666666,0.9367088607594937,0.4,0.6,0.0
simgp24,uncertainty,14,2,0.06534384107706621,1.0,0.95,0.9743589743589743,20,0.9871794871794872,0.17375932285665646,0.5833333333333334,0.9102564102564102,0.4,0.6,0.0
simgp24,uncertainty,15,2,0.06800921934326185,1.0,0.9473684210526315,0.972972972972973,19,0.987012987012987,0.18044798815912377,0.5454545454545454,0.9090909090909091,0.4,0.6,0.0
simgp24,straddle,3,2,0.05060406671622995,0.8235294117647058,1.0,0.9032258064516129,28,0.8876404494382022,0.22174551909419105,0.8823529411764706,0.3595505617977528,0.4,0.6,0.5
simgp24,straddle,4,2,0.05370587406540103,0.8181818181818182,1.0,0.9,27,0.9090909090909091,0.21354272298482743,0.8823529411764706,0.36363636363636365,0.4,0.6,0.0
simgp24,straddle,5,2,0.06068428274684249,0.8125,1.0,0.896551724137931,26,0.47126436781609193,0.22012407553274493,1.0,0.2988505747126437,0.4,0.6,0.5
simgp24,straddle,6,2,0.06595840099845274,0.8064516129032258,1.0,0.8928571428571428,25,0.3488372093023256,0.20804364824596835,1.0,0.3023255813953488,0.4,0.6,0.5
simgp24,straddle,7,2,0.06459267271295668,0.8,1.0,0.888888888888889,24,0.4,0.19698839664109227,1.0,0.3058823529411765,0.4,0.6,1.0
