model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose
simgp24_g75,random,15,0,0.14295582719072397,0.7178947368421053,0.9827089337175793,0.8296836982968371,347,0.5423728813559322,0.1673728813559322,0.3686440677966102,0.6567796610169492,,,,,,,,,
simgp_timeblind,random,15,0,0.560602194696709,0.989247311827957,0.5302593659942363,0.6904315196998124,347,0.5264830508474576,,,,0.6097884751352664,0.7005347593582888,0.6800847457627118,,,,,,
mean_of_samples,random,15,0,0.3528664139805066,1.0,0.0,0.0,347,0.0,,,,0.5735373413869557,0.0,0.0,,,,,,
simgp24,uncertainty,3,0,0.05539053737498954,0.9697986577181208,0.8186968838526912,0.8878648233486943,353,0.9686192468619247,0.8661087866108786,0.9560669456066946,0.9780334728033473,0.11041979955762588,0.6190476190476191,0.9801255230125523,0.4,0.3,1.0,1.15,1.0,0.9
simgp24,uncertainty,4,0,0.049173947300196835,0.9703947368421053,0.8380681818181818,0.899390243902439,352,0.9633507853403142,0.8167539267015707,0.949738219895288,0.9706806282722513,0.10819637753038899,0.6349206349206349,0.9685863874345549,0.25,0.6,1.0,1.15,0.9,0.9
simgp24,uncertainty,5,0,0.03987842762144918,0.9340974212034384,0.9287749287749287,0.9314285714285714,351,0.9706498951781971,0.8763102725366876,0.9591194968553459,0.9790356394129979,0.08875448662197367,0.8776595744680851,0.9832285115303984,0.4,0.3,1.0,1.15,1.1,1.0
simgp24,uncertainty,6,0,0.0768679017288188,0.8292682926829268,0.9714285714285714,0.8947368421052632,350,0.9779643231899265,0.7796432318992654,0.9580272822665268,0.9800629590766002,0.172328431943288,0.9518716577540107,0.9832109129066107,0.25,1.5,0.0,1.0,0.9,1.1
simgp24,uncertainty,7,0,0.05415341928816972,0.765625,0.9828080229226361,0.8607277289836888,349,0.9453781512605042,0.6418067226890757,0.8907563025210085,0.9695378151260504,0.1000999178631166,0.9786096256684492,0.9653361344537815,0.4,0.6,0.0,1.15,1.1,1.0
simgp24,uncertainty,8,0,0.04734218747932933,0.8807588075880759,0.9339080459770115,0.9065550906555091,348,0.9411146161934806,0.8054679284963197,0.9053627760252366,0.9663512092534174,0.20700771830554532,0.7365591397849462,0.9390115667718192,0.7,0.3,0.5,1.15,1.1,1.1
simgp24,uncertainty,9,0,0.06040287730502803,0.9387755102040817,0.9279538904899135,0.9333333333333333,347,0.9652631578947368,0.7494736842105263,0.9084210526315789,0.9736842105263158,0.2328420967425238,0.7189189189189189,0.9242105263157895,0.7,0.3,1.0,1.15,1.0,1.1
