route,K,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,recall_min_all,precision_min_all,f1_min_all
optimised,12,3,0.060065786325636944,0.5,1.0,0.6666666666666666,3,0.9565217391304348,0.6086956521739131,0.9565217391304348,1.0,0.10568739791994995,0.0,0.9130434782608695,1.0,0.5,0.6666666666666666
highest_demand,12,3,0.06556406076404281,0.5,1.0,0.6666666666666666,3,0.9565217391304348,0.6521739130434783,0.8695652173913043,0.9565217391304348,0.09738233279296114,0.0,1.0,1.0,0.42857142857142855,0.6
random,12,3,0.06047451828784014,0.6,1.0,0.7499999999999999,3,1.0,0.6956521739130435,0.9565217391304348,1.0,0.09720935884427401,0.0,0.9130434782608695,1.0,0.6,0.7499999999999999
optimised,5,4,0.18289416519378124,0.625,0.9090909090909091,0.7407407407407406,11,0.8333333333333334,0.4,0.8333333333333334,0.8666666666666667,0.32351527783399514,0.5,0.8,0.9090909090909091,0.5555555555555556,0.6896551724137931
highest_demand,5,4,0.06320978138709667,0.7142857142857143,1.0,0.8333333333333333,10,1.0,0.6,0.8666666666666667,1.0,0.08479896875217,0.0,1.0,0.9090909090909091,0.6666666666666666,0.7692307692307692
random,5,4,0.05846048763048542,0.8,0.8888888888888888,0.8421052631578948,9,1.0,0.5333333333333333,0.9,1.0,0.11333821054178209,0.0,0.9333333333333333,0.8181818181818182,0.6923076923076923,0.7500000000000001
optimised,8,4,0.18547167839837983,0.6666666666666666,1.0,0.8,10,0.9259259259259259,0.4074074074074074,0.7407407407407407,0.9259259259259259,0.3316094040905221,0.0,0.7777777777777778,1.0,0.55,0.7096774193548387
highest_demand,8,4,0.05951020853587745,0.8181818181818182,1.0,0.9,9,1.0,0.5185185185185185,0.9629629629629629,1.0,0.0827711300544981,0.0,1.0,0.9090909090909091,0.7692307692307693,0.8333333333333333
random,8,4,0.07017213394628445,0.4444444444444444,1.0,0.6153846153846153,8,0.8518518518518519,0.2962962962962963,0.6666666666666666,0.9629629629629629,0.098411393631403,1.0,0.9629629629629629,1.0,0.4583333333333333,0.6285714285714286
optimised,12,4,0.07011417732893774,0.9090909090909091,1.0,0.9523809523809523,10,0.9565217391304348,0.7391304347826086,0.9565217391304348,1.0,0.10715532602063303,0.0,1.0,1.0,0.7857142857142857,0.88
highest_demand,12,4,0.07013434472679937,0.6153846153846154,1.0,0.761904761904762,8,0.7391304347826086,0.391304347826087,0.6086956521739131,0.8695652173913043,0.0756184415856959,0.0,1.0,1.0,0.6111111111111112,0.7586206896551725
random,12,4,0.04874557433250226,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,1.0,0.7391304347826086,1.0,1.0,0.1219206567978284,0.0,1.0,0.9090909090909091,0.8333333333333334,0.8695652173913043
optimised,5,5,0.05403562800694049,0.7222222222222222,1.0,0.8387096774193548,13,0.9666666666666667,0.6,0.9666666666666667,1.0,0.08630817181998006,0.4,1.0,1.0,0.6190476190476191,0.7647058823529412
highest_demand,5,5,0.043664826454860445,0.8571428571428571,1.0,0.923076923076923,12,1.0,0.8333333333333334,0.9666666666666667,1.0,0.08230342927460618,0.2,1.0,1.0,0.8125,0.896551724137931
random,5,5,0.04610777751606093,0.8461538461538461,1.0,0.9166666666666666,11,0.9666666666666667,0.8333333333333334,0.9666666666666667,0.9666666666666667,0.12059389970089018,1.0,1.0,1.0,0.8666666666666667,0.9285714285714286
optimised,8,5,0.051114254694935884,0.8,1.0,0.888888888888889,12,0.9629629629629629,0.5185185185185185,0.9259259259259259,1.0,0.0720309771254584,0.4,0.9629629629629629,1.0,0.65,0.787878787878788
highest_demand,8,5,0.057784579252272004,0.5789473684210527,1.0,0.7333333333333334,11,0.9259259259259259,0.5555555555555556,0.9259259259259259,0.9259259259259259,0.10062991788173216,0.2,1.0,1.0,0.5,0.6666666666666666
random,8,5,0.061271168730311264,0.625,1.0,0.7692307692307693,10,0.9259259259259259,0.6296296296296297,0.9259259259259259,0.9629629629629629,0.09876657569271155,0.2,0.9629629629629629,1.0,0.6190476190476191,0.7647058823529412
optimised,12,5,0.04044375224788777,0.9166666666666666,1.0,0.9565217391304348,11,0.9565217391304348,0.5217391304347826,0.9130434782608695,0.9565217391304348,0.08158461276299189,0.4,0.9565217391304348,1.0,0.7222222222222222,0.8387096774193548
highest_demand,12,5,0.05101603857305437,0.7692307692307693,1.0,0.8695652173913044,10,0.9130434782608695,0.5652173913043478,0.9130434782608695,0.9565217391304348,0.12126692076481005,0.75,0.8695652173913043,1.0,0.65,0.787878787878788
random,12,5,0.04405500945188713,0.7692307692307693,1.0,0.8695652173913044,10,0.9565217391304348,0.5652173913043478,0.8260869565217391,0.9565217391304348,0.08669188272591148,1.0,0.9565217391304348,0.9230769230769231,0.7058823529411765,0.8000000000000002
optimised,5,6,0.1434566636617911,1.0,0.3157894736842105,0.4799999999999999,19,0.9666666666666667,0.43333333333333335,0.8,0.9666666666666667,0.14038353907110945,0.0,0.9,0.2857142857142857,1.0,0.4444444444444445
highest_demand,5,6,0.058212583184043806,0.8571428571428571,1.0,0.923076923076923,18,0.8666666666666667,0.4,0.8,0.9333333333333333,0.09194264086898304,0.6666666666666666,0.9666666666666667,1.0,0.8076923076923077,0.8936170212765957
random,5,6,0.048470279774929584,1.0,0.75,0.8571428571428571,20,0.9666666666666667,0.8666666666666667,0.9666666666666667,1.0,0.09600593976216648,0.3333333333333333,0.9666666666666667,0.7619047619047619,0.9411764705882353,0.8421052631578947
optimised,8,6,0.0916871813626372,0.9333333333333333,0.8235294117647058,0.8749999999999999,17,0.7777777777777778,0.4444444444444444,0.5555555555555556,0.8148148148148148,0.22794698965334056,0.875,0.9259259259259259,0.8571428571428571,0.9,0.8780487804878048
highest_demand,8,6,0.04978225803364186,0.9333333333333333,0.875,0.9032258064516129,16,0.9629629629629629,0.6666666666666666,0.8888888888888888,1.0,0.11168461985240853,0.4444444444444444,0.9629629629629629,0.9047619047619048,0.9047619047619048,0.9047619047619048
random,8,6,0.07009936718763675,0.7391304347826086,1.0,0.85,17,0.6666666666666666,0.18518518518518517,0.4444444444444444,0.8148148148148148,0.11127993368986389,0.625,0.8888888888888888,1.0,0.7777777777777778,0.8750000000000001
optimised,12,6,0.1724964232494226,0.875,1.0,0.9333333333333333,14,0.9130434782608695,0.30434782608695654,0.6521739130434783,0.9130434782608695,0.12997216591284616,0.625,0.9565217391304348,1.0,0.84,0.9130434782608696
highest_demand,12,6,0.09674695971552566,0.8235294117647058,1.0,0.9032258064516129,14,0.782608695652174,0.43478260869565216,0.782608695652174,0.8695652173913043,0.1037143490148161,0.625,0.9565217391304348,1.0,0.7777777777777778,0.8750000000000001
random,12,6,0.04871179899463292,1.0,0.8,0.888888888888889,15,1.0,0.8695652173913043,0.9565217391304348,1.0,0.10917597079521633,0.5,0.9130434782608695,0.8095238095238095,0.8947368421052632,0.8500000000000001
optimised,5,7,0.04526469214024433,0.6363636363636364,1.0,0.7777777777777778,14,1.0,0.6333333333333333,0.9,1.0,0.11900212931979037,0.6,0.8666666666666667,1.0,0.68,0.8095238095238095
highest_demand,5,7,0.04036948027592883,0.7142857142857143,1.0,0.8333333333333333,15,0.9333333333333333,0.5666666666666667,0.8666666666666667,1.0,0.09040513982963023,0.6666666666666666,1.0,1.0,0.6538461538461539,0.7906976744186047
random,5,7,0.03876814352151349,0.8571428571428571,0.8571428571428571,0.8571428571428571,14,0.9666666666666667,0.7333333333333333,0.9333333333333333,0.9666666666666667,0.11040335582879243,1.0,1.0,0.8235294117647058,0.875,0.8484848484848485
optimised,8,7,0.038266267925512694,0.8,0.9230769230769231,0.8571428571428571,13,0.9629629629629629,0.7037037037037037,0.8888888888888888,1.0,0.06511394907160316,0.4,1.0,0.8823529411764706,0.7894736842105263,0.8333333333333333
highest_demand,8,7,0.030166577746499803,1.0,1.0,1.0,13,1.0,0.7777777777777778,1.0,1.0,0.06835825767582408,0.16666666666666666,1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353
random,8,7,0.02995406255003121,0.8,1.0,0.888888888888889,12,1.0,0.7777777777777778,0.9629629629629629,1.0,0.07652222440001684,0.25,1.0,1.0,0.85,0.9189189189189189
optimised,12,7,0.059468491749305005,0.9285714285714286,1.0,0.962962962962963,13,0.8695652173913043,0.6086956521739131,0.782608695652174,1.0,0.06804320367685544,1.0,1.0,1.0,0.85,0.9189189189189189
highest_demand,12,7,0.027010831653175596,1.0,0.9166666666666666,0.9565217391304348,12,1.0,0.782608695652174,1.0,1.0,0.07221297094111044,0.2,1.0,0.8823529411764706,0.9375,0.9090909090909091
random,12,7,0.03122938659144882,1.0,0.8181818181818182,0.9,11,1.0,0.6521739130434783,0.9565217391304348,1.0,0.04624775788202394,0.75,1.0,0.8823529411764706,0.9375,0.9090909090909091
