model,strategy,n,seed,rmse,mae,precision,recall,f1,n_true_viol,coverage90,map_kb,map_kw,map_gamma
decay_only,random,6,2,0.16562559964884643,0.12538625283744928,0.875,0.875,0.875,16,,,,
simgp_core,random,7,2,0.04643932344479576,0.03315111024287426,0.9333333333333333,0.875,0.9032258064516129,16,0.8235294117647058,0.4,0.6,1.0
physgp_core,random,7,2,0.1599352436431884,0.11260238205718177,0.9333333333333333,0.875,0.9032258064516129,16,0.6352941176470588,,,
physgp_rich,random,7,2,0.16994529942950953,0.12498514706818757,0.8235294117647058,0.875,0.8484848484848485,16,0.6705882352941176,,,
simgp_rich,random,7,2,0.04770581925768154,0.033465173531268926,0.9333333333333333,0.875,0.9032258064516129,16,0.9411764705882353,,,
mean_of_samples,random,7,2,0.2761238995042358,0.22311289486746944,1.0,0.0,0.0,16,,,,
nearest_sample,random,7,2,0.26149095607235584,0.17868615750542766,0.125,0.0625,0.08333333333333333,16,,,,
decay_only,random,7,2,0.15600439413655093,0.11994726535736147,0.9333333333333333,0.875,0.9032258064516129,16,,,,
simgp_core,random,8,2,0.045981190690235034,0.032467276252672574,0.9333333333333333,0.875,0.9032258064516129,16,0.8333333333333334,0.4,0.6,1.0
physgp_core,random,8,2,0.1624504934695274,0.11526086828960616,0.9333333333333333,0.875,0.9032258064516129,16,0.6309523809523809,,,
physgp_rich,random,8,2,0.18403431575015228,0.14137863499886152,0.875,0.875,0.875,16,0.5714285714285714,,,
simgp_rich,random,8,2,0.05155844865236262,0.03694450159401256,0.9285714285714286,0.8125,0.8666666666666666,16,0.8809523809523809,,,
pinn_rich,random,8,2,0.26630007418645246,0.16601310323521923,1.0,0.125,0.2222222222222222,16,0.42857142857142855,,,
mean_of_samples,random,8,2,0.27877801776937516,0.22277525878684606,1.0,0.0,0.0,16,,,,
nearest_sample,random,8,2,0.26345293089599353,0.18144095243841687,0.125,0.0625,0.08333333333333333,16,,,,
decay_only,random,8,2,0.15715422948166569,0.12124961279671356,0.9333333333333333,0.875,0.9032258064516129,16,,,,
simgp_core,random,9,2,0.046134366557682466,0.03264127609022593,0.9333333333333333,0.875,0.9032258064516129,16,0.8313253012048193,0.4,0.6,1.0
physgp_core,random,9,2,0.16923245378359444,0.12150136963066685,0.8235294117647058,0.875,0.8484848484848485,16,0.5783132530120482,,,
physgp_rich,random,9,2,0.15401322511702376,0.11312751008453287,0.875,0.875,0.875,16,0.7228915662650602,,,
simgp_rich,random,9,2,0.051737611756873,0.037019536072040456,0.9285714285714286,0.8125,0.8666666666666666,16,0.8795180722891566,,,
mean_of_samples,random,9,2,0.28103789645045824,0.22513619087558762,1.0,0.0,0.0,16,,,,
nearest_sample,random,9,2,0.2642194367624709,0.1797574353439654,0.125,0.0625,0.08333333333333333,16,,,,
decay_only,random,9,2,0.16042740296147143,0.12286239219380847,0.9333333333333333,0.875,0.9032258064516129,16,,,,
simgp_core,random,10,2,0.04814440235331006,0.03296886312623723,0.9375,0.9375,0.9375,16,0.8780487804878049,0.55,0.6,1.0
physgp_core,random,10,2,0.14966118219744676,0.10412473461137378,0.9333333333333333,0.875,0.9032258064516129,16,0.7195121951219512,,,
physgp_rich,random,10,2,0.14735139904026207,0.10220551587812993,0.9333333333333333,0.875,0.9032258064516129,16,0.7560975609756098,,,
simgp_rich,random,10,2,0.05033833737682412,0.036752899730180984,0.9375,0.9375,0.9375,16,0.8902439024390244,,,
pinn_rich,random,10,2,0.24196301951818433,0.15078947902800513,1.0,0.0625,0.11764705882352941,16,0.43902439024390244,,,
mean_of_samples,random,10,2,0.2805756597754789,0.2253060901802313,1.0,0.0,0.0,16,,,,
nearest_sample,random,10,2,0.2623522110257424,0.1735079129574983,0.25,0.0625,0.1,16,,,,
decay_only,random,10,2,0.16045112414764057,0.1233855833175949,0.9333333333333333,0.875,0.9032258064516129,16,,,,
simgp_core,random,11,2,0.046459476382361635,0.03149384175893522,0.9375,0.9375,0.9375,16,0.8518518518518519,0.55,0.6,1.0
physgp_core,random,11,2,0.13114848331947612,0.0921499367854936,0.9333333333333333,0.875,0.9032258064516129,16,0.7037037037037037,,,
physgp_rich,random,11,2,0.1324891509858114,0.09220106833600776,0.9333333333333333,0.875,0.9032258064516129,16,0.7654320987654321,,,
simgp_rich,random,11,2,0.049911920312396336,0.036760508559679,0.9375,0.9375,0.9375,16,0.8765432098765432,,,
mean_of_samples,random,11,2,0.2868191365386245,0.2266073645718259,1.0,0.0,0.0,16,,,,
nearest_sample,random,11,2,0.24182140493726398,0.1558705852298533,0.25,0.0625,0.1,16,,,,
decay_only,random,11,2,0.15202540128149686,0.12109670774872466,0.9333333333333333,0.875,0.9032258064516129,16,,,,
simgp_core,random,12,2,0.04485073980297526,0.029396527820362856,0.9375,0.9375,0.9375,16,0.925,0.55,0.6,1.0
physgp_core,random,12,2,0.1325998990016235,0.09382680833275436,0.9333333333333333,0.875,0.9032258064516129,16,0.675,,,
physgp_rich,random,12,2,0.13242840747725862,0.09129913633022498,0.875,0.875,0.875,16,0.7375,,,
simgp_rich,random,12,2,0.047517182325287344,0.033721968670749294,0.9333333333333333,0.875,0.9032258064516129,16,0.8875,,,
pinn_rich,random,12,2,0.23932504806144425,0.147773393890609,1.0,0.125,0.2222222222222222,16,0.475,,,
mean_of_samples,random,12,2,0.30384001101803554,0.2386389121948936,1.0,0.0,0.0,16,,,,
nearest_sample,random,12,2,0.2410189246138168,0.15407991726072173,0.25,0.0625,0.1,16,,,,
decay_only,random,12,2,0.15207091604314327,0.12287653390000823,0.875,0.875,0.875,16,,,,
simgp_core,random,13,2,0.045633462272943334,0.030418625243562602,0.9375,0.9375,0.9375,16,0.8481012658227848,0.55,0.6,0.5
physgp_core,random,13,2,0.13335884753078633,0.09342789460669675,0.9333333333333333,0.875,0.9032258064516129,16,0.5822784810126582,,,
physgp_rich,random,13,2,0.13515986069379832,0.09434128717940599,0.875,0.875,0.875,16,0.6455696202531646,,,
simgp_rich,random,13,2,0.05025362148104085,0.03507651188627097,0.9375,0.9375,0.9375,16,0.9113924050632911,,,
mean_of_samples,random,13,2,0.30363207955084986,0.23927859022150122,1.0,0.0,0.0,16,,,,
nearest_sample,random,13,2,0.2403941833254518,0.1507303614784051,0.25,0.0625,0.1,16,,,,
decay_only,random,13,2,0.1527039166557952,0.1245591703844609,0.9333333333333333,0.875,0.9032258064516129,16,,,,
simgp_core,random,14,2,0.046232481102406124,0.031482588253836936,0.9375,0.9375,0.9375,16,0.8461538461538461,0.55,0.6,1.0
physgp_core,random,14,2,0.13319840420585274,0.09201355241660587,0.9333333333333333,0.875,0.9032258064516129,16,0.5384615384615384,,,
physgp_rich,random,14,2,0.13492061391794324,0.09407001623263984,0.875,0.875,0.875,16,0.6282051282051282,,,
simgp_rich,random,14,2,0.048628963265698044,0.034303739180568005,0.9375,0.9375,0.9375,16,0.9358974358974359,,,
