model,strategy,n,seed,rmse,mae,precision,recall,f1,n_true_viol,coverage90,coverage50,coverage80,coverage95,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose,recall_all
simgp_core,straddle,6,0,0.11828338714786746,0.06904151077151376,0.9493670886075949,0.635593220338983,0.7614213197969543,236,0.9338929695697796,0.770199370409234,0.906610703043022,0.9548793284365162,0.4,0.3,1.0,1.15,0.9,0.95,0.6371308016877637
simgp_core,straddle,7,0,0.11391110643021385,0.0742125698989916,0.9594594594594594,0.6016949152542372,0.7395833333333334,236,0.9254201680672269,0.7153361344537815,0.8781512605042017,0.9495798319327731,0.4,0.3,1.0,1.15,0.9,1.0,0.6033755274261603
simgp_core,straddle,8,0,0.09783200107773896,0.06833495734624533,0.9596774193548387,0.5063829787234042,0.6629526462395543,235,0.9284963196635121,0.6813880126182965,0.8801261829652997,0.9526813880126183,0.4,0.3,1.0,1.15,0.9,1.0,0.5063291139240507
simgp_core,straddle,9,0,0.09994028185295921,0.07105597622059259,0.9596774193548387,0.5085470085470085,0.664804469273743,234,0.9242105263157895,0.6547368421052632,0.8726315789473684,0.9494736842105264,0.4,0.3,0.5,1.15,0.9,1.05,0.5063291139240507
simgp_core,straddle,10,0,0.08392761612055097,0.050175891276745245,0.9451219512195121,0.6652360515021459,0.7808564231738035,233,0.9557428872497366,0.8145416227608009,0.9220231822971549,0.9704952581664911,0.4,0.6,0.5,1.15,0.9,1.1,0.6624472573839663
simgp_core,straddle,11,0,0.1142789328366535,0.0782006946836782,0.8050314465408805,0.5517241379310345,0.6547314578005116,232,0.9324894514767933,0.7120253164556962,0.8818565400843882,0.9588607594936709,0.25,0.6,0.0,1.0,1.1,0.9,0.5527426160337553
simgp_core,straddle,12,0,0.10681539289108997,0.06848303225962256,0.8526315789473684,0.7012987012987013,0.7695961995249406,231,0.9778247096092925,0.853220696937698,0.9577613516367476,0.9831045406546991,0.25,1.0,1.0,1.0,1.0,0.9,0.70042194092827
simgp_core,straddle,13,0,0.10737682170090504,0.07205953194733289,0.8705882352941177,0.6406926406926406,0.738154613466334,231,0.9746300211416491,0.8329809725158562,0.9556025369978859,0.9809725158562368,0.25,0.6,0.0,1.0,1.0,0.9,0.6413502109704642
simgp_core,straddle,14,0,0.09261377935090127,0.061107196685192586,0.8941176470588236,0.6608695652173913,0.7599999999999999,230,0.9756613756613757,0.873015873015873,0.9597883597883597,0.9841269841269841,0.25,0.6,0.0,1.0,1.0,0.9,0.6624472573839663
simgp_core,straddle,15,0,0.1881141130220646,0.11185823176497804,0.9074074074074074,0.6391304347826087,0.75,230,0.9364406779661016,0.6970338983050848,0.8813559322033898,0.951271186440678,0.25,0.6,0.5,1.15,1.0,0.9,0.6413502109704642
simgp_core,random,3,1,0.0878983290665372,0.062016909744321176,0.9875518672199171,0.6898550724637681,0.8122866894197953,345,0.9654811715481172,0.7960251046025104,0.9539748953974896,0.9707112970711297,0.1,1.5,0.0,1.0,1.0,0.9,0.6898550724637681
simgp_core_nogp,random,3,1,0.08793680129957585,0.06208360949308679,0.9875518672199171,0.6898550724637681,0.8122866894197953,345,0.9654811715481172,0.7813807531380753,0.9518828451882845,0.9696652719665272,,,,,,,
simgp_core_g75,random,3,1,0.13946925668980453,0.08689804367151628,0.9853658536585366,0.5855072463768116,0.7345454545454546,345,0.7866108786610879,0.48535564853556484,0.7071129707112971,0.8274058577405857,,,,,,,
physgp_core,random,3,1,0.3243898008503127,0.28262099896787685,1.0,0.0,0.0,345,0.19246861924686193,0.07845188284518828,0.14225941422594143,0.2301255230125523,,,,,,,
physgp_rich,random,3,1,0.3244098465214508,0.28260589920155604,1.0,0.0,0.0,345,0.23326359832635984,0.09832635983263599,0.1809623430962343,0.25732217573221755,,,,,,,
simgp_rich,random,3,1,0.08793398723488531,0.062079566871245224,0.9875518672199171,0.6898550724637681,0.8122866894197953,345,0.9654811715481172,0.7845188284518828,0.9518828451882845,0.9707112970711297,,,,,,,
pinn_rich,random,3,1,0.46139993855099776,0.39070292785264593,1.0,0.0,0.0,345,0.19769874476987448,0.10460251046025104,0.15690376569037656,0.22384937238493724,,,,,,,
mean_of_samples,random,3,1,0.5444753357638877,0.48644084623992234,1.0,0.0,0.0,345,,,,,,,,,,,
nearest_sample,random,3,1,0.39914818773559996,0.3313314276550262,1.0,0.0,0.0,345,,,,,,,,,,,
decay_only,random,3,1,0.32441051437212926,0.2826117181821805,1.0,0.0,0.0,345,,,,,,,,,,,
simgp_core,random,4,1,0.08706905344557749,0.06177901090518021,0.9876543209876543,0.6956521739130435,0.8163265306122449,345,0.9664921465968587,0.7947643979057591,0.956020942408377,0.9706806282722513,0.25,1.0,0.5,1.0,1.1,1.0,0.6956521739130435
simgp_core_nogp,random,4,1,0.08686969959063409,0.060584438091447756,0.9876543209876543,0.6956521739130435,0.8163265306122449,345,0.9654450261780104,0.7853403141361257,0.9518324607329843,0.9696335078534032,,,,,,,
simgp_core_g75,random,4,1,0.13771340755502887,0.08476231207631074,0.9855072463768116,0.591304347826087,0.7391304347826086,345,0.7780104712041885,0.4816753926701571,0.7026178010471205,0.8209424083769633,,,,,,,
physgp_core,random,4,1,0.32532274428371966,0.28106137073755383,1.0,0.0,0.0,345,0.25026178010471206,0.1256544502617801,0.22094240837696336,0.2680628272251309,,,,,,,
physgp_rich,random,4,1,0.3256788085843215,0.28195894549675826,1.0,0.0,0.0,345,0.23979057591623038,0.11099476439790576,0.18429319371727748,0.2544502617801047,,,,,,,
simgp_rich,random,4,1,0.08679268587341238,0.060484565556501876,0.9876543209876543,0.6956521739130435,0.8163265306122449,345,0.9654450261780104,0.7947643979057591,0.9549738219895288,0.9706806282722513,,,,,,,
mean_of_samples,random,4,1,0.6699481347715556,0.6108390396429227,1.0,0.0,0.0,345,,,,,,,,,,,
nearest_sample,random,4,1,0.48468057902404893,0.3769679389479877,1.0,0.0,0.0,345,,,,,,,,,,,
decay_only,random,4,1,0.32569766315092574,0.28203973697839557,1.0,0.0,0.0,345,,,,,,,,,,,
simgp_core,random,5,1,0.07437050329592393,0.04770668054971835,0.978021978021978,0.7739130434782608,0.8640776699029125,345,0.9664570230607966,0.8553459119496856,0.9549266247379455,0.9706498951781971,0.4,0.3,1.0,0.85,1.0,0.95,0.7739130434782608
simgp_core_nogp,random,5,1,0.07383277647190062,0.0460703288638479,0.978021978021978,0.7739130434782608,0.8640776699029125,345,0.9643605870020965,0.8522012578616353,0.9528301886792453,0.9696016771488469,,,,,,,
simgp_core_g75,random,5,1,0.11650111313002876,0.06249477344685865,0.9523809523809523,0.8115942028985508,0.8763693270735524,345,0.8406708595387841,0.6572327044025157,0.8018867924528302,0.8742138364779874,,,,,,,
physgp_core,random,5,1,0.27009088986458785,0.22974410471730053,1.0,0.09855072463768116,0.17941952506596306,345,0.2148846960167715,0.10062893081761007,0.16247379454926625,0.24947589098532494,,,,,,,
physgp_rich,random,5,1,0.26221852082443153,0.22225529719878764,1.0,0.12173913043478261,0.2170542635658915,345,0.42557651991614254,0.18238993710691823,0.35639412997903563,0.4727463312368973,,,,,,,
simgp_rich,random,5,1,0.07627586175598744,0.04859683222632603,0.9783393501805054,0.7855072463768116,0.8713826366559486,345,0.9654088050314465,0.8417190775681341,0.9570230607966457,0.9706498951781971,,,,,,,
pinn_rich,random,5,1,0.3959083724554354,0.3310408769056531,1.0,0.0,0.0,345,0.22851153039832284,0.12054507337526206,0.18972746331236898,0.2526205450733753,,,,,,,
mean_of_samples,random,5,1,0.5865635318490994,0.5274758753951685,1.0,0.0,0.0,345,,,,,,,,,,,
nearest_sample,random,5,1,0.48406859504870453,0.3757763621862302,1.0,0.0,0.0,345,,,,,,,,,,,
decay_only,random,5,1,0.27028685408908776,0.23006127703042942,1.0,0.09855072463768116,0.17941952506596306,345,,,,,,,,,,,
simgp_core,random,6,1,0.0777041253176611,0.048133612921879884,0.9850187265917603,0.7645348837209303,0.8608837970540099,344,0.9590766002098636,0.7250786988457503,0.9401888772298006,0.9643231899265478,0.25,0.6,1.0,0.85,1.0,0.9,0.7652173913043478
simgp_core_nogp,random,6,1,0.07791994539903986,0.048474541964450696,0.9850187265917603,0.7645348837209303,0.8608837970540099,344,0.9590766002098636,0.7051416579223505,0.9401888772298006,0.9632738719832109,,,,,,,
simgp_core_g75,random,6,1,0.11077634076201692,0.06160396326665542,0.9096573208722741,0.8488372093023255,0.8781954887218045,344,0.7397691500524659,0.459601259181532,0.6862539349422875,0.7785939139559287,,,,,,,
physgp_core,random,6,1,0.1679524886819161,0.1308371956219867,0.8564593301435407,0.5203488372093024,0.647377938517179,344,0.7743966421825813,0.3473242392444911,0.6232948583420777,0.8268625393494229,,,,,,,
physgp_rich,random,6,1,0.20702760083014815,0.15866151708589202,0.7918552036199095,0.5087209302325582,0.6194690265486725,344,0.6925498426023085,0.3462749213011542,0.5802728226652676,0.7806925498426023,,,,,,,
simgp_rich,random,6,1,0.08179014018520198,0.05321655351307359,0.9851851851851852,0.7732558139534884,0.8664495114006515,344,0.9580272822665268,0.6946484784889821,0.9338929695697796,0.9632738719832109,,,,,,,
mean_of_samples,random,6,1,0.4945452232401002,0.4381920022268093,1.0,0.0,0.0,344,,,,,,,,,,,
nearest_sample,random,6,1,0.4217701715821344,0.27997119067936094,0.711864406779661,0.4883720930232558,0.5793103448275863,344,,,,,,,,,,,
decay_only,random,6,1,0.19988038882598197,0.15778392366705593,0.7906976744186046,0.4941860465116279,0.6082289803220035,344,,,,,,,,,,,
simgp_core,random,7,1,0.07759847837955114,0.04871587862314139,0.9849624060150376,0.7616279069767442,0.859016393442623,344,0.9611344537815126,0.717436974789916,0.9401260504201681,0.9642857142857143,0.25,0.6,1.0,0.85,1.0,0.9,0.7623188405797101
simgp_core_nogp,random,7,1,0.07820606113885216,0.049794259230777745,0.9849624060150376,0.7616279069767442,0.859016393442623,344,0.957983193277311,0.6890756302521008,0.9401260504201681,0.9632352941176471,,,,,,,
simgp_core_g75,random,7,1,0.11134544560439948,0.06730524024605752,0.9233226837060703,0.8401162790697675,0.8797564687975648,344,0.8067226890756303,0.45903361344537813,0.7289915966386554,0.8455882352941176,,,,,,,
physgp_core,random,7,1,0.18534620700304474,0.13805589867585788,0.8605769230769231,0.5203488372093024,0.6485507246376812,344,0.7226890756302521,0.3245798319327731,0.5819327731092437,0.7836134453781513,,,,,,,
physgp_rich,random,7,1,0.21437377639248995,0.16327079338752193,0.8149779735682819,0.5377906976744186,0.647985989492119,344,0.6722689075630253,0.29936974789915966,0.5703781512605042,0.7510504201680672,,,,,,,
simgp_rich,random,7,1,0.07817941575470627,0.04971180628059114,0.9851301115241635,0.7703488372093024,0.8646003262642741,344,0.9600840336134454,0.7142857142857143,0.9380252100840336,0.9642857142857143,,,,,,,
mean_of_samples,random,7,1,0.5392047860143803,0.48123533960724263,1.0,0.0,0.0,344,,,,,,,,,,,
nearest_sample,random,7,1,0.42519933829029977,0.28280161712195506,0.711864406779661,0.4883720930232558,0.5793103448275863,344,,,,,,,,,,,
decay_only,random,7,1,0.201131824769626,0.1589749922294577,0.7880184331797235,0.49709302325581395,0.6096256684491979,344,,,,,,,,,,,
simgp_core,random,8,1,0.07477580735841088,0.045748104697780956,0.9816849816849816,0.7790697674418605,0.8687196110210696,344,0.9600420609884333,0.7360672975814931,0.935856992639327,0.964248159831756,0.25,1.0,1.0,0.85,1.0,0.95,0.7797101449275362
simgp_core_nogp,random,8,1,0.07544887083329808,0.04702745314852762,0.978021978021978,0.7761627906976745,0.8654781199351703,344,0.9558359621451105,0.7013669821240799,0.9337539432176656,0.9631966351209253,,,,,,,
simgp_core_g75,random,8,1,0.12303690570419593,0.07174174471428632,0.9304635761589404,0.8168604651162791,0.869969040247678,344,0.7833859095688749,0.4668769716088328,0.7192429022082019,0.825446898002103,,,,,,,
physgp_core,random,8,1,0.18595602308056391,0.1388263611114941,0.8516746411483254,0.5174418604651163,0.64376130198915,344,0.668769716088328,0.29758149316508936,0.5383806519453207,0.7465825446898002,,,,,,,
physgp_rich,random,8,1,0.21686769649527798,0.16971411502227504,0.8073394495412844,0.5116279069767442,0.6263345195729537,344,0.6235541535226078,0.2586750788643533,0.49842271293375395,0.7055730809674028,,,,,,,
simgp_rich,random,8,1,0.07547962991676799,0.04678366940364563,0.9781021897810219,0.7790697674418605,0.8673139158576053,344,0.9589905362776026,0.7350157728706624,0.9337539432176656,0.9631966351209253,,,,,,,
pinn_rich,random,8,1,0.24340838370980622,0.18062082046123212,0.8415300546448088,0.4476744186046512,0.584440227703985,344,0.19558359621451105,0.07886435331230283,0.14616193480546794,0.2334384858044164,,,,,,,
mean_of_samples,random,8,1,0.49047767686668936,0.4341713094200295,1.0,0.0,0.0,344,,,,,,,,,,,
nearest_sample,random,8,1,0.4104179161085765,0.26257899646643934,0.8121212121212121,0.38953488372093026,0.5265225933202357,344,,,,,,,,,,,
decay_only,random,8,1,0.20130364950542165,0.15922309154618197,0.7906976744186046,0.4941860465116279,0.6082289803220035,344,,,,,,,,,,,
simgp_core,random,9,1,0.07248981227403146,0.042773072583196854,0.9856115107913669,0.7988338192419825,0.8824476650563607,343,0.9589473684210527,0.7610526315789473,0.9336842105263158,0.9642105263157895,0.25,0.6,1.0,0.85,0.9,0.9,0.7971014492753623
simgp_core_nogp,random,9,1,0.0730804039467758,0.044089680832782245,0.9818840579710145,0.7900874635568513,0.875605815831987,343,0.9557894736842105,0.7263157894736842,0.9326315789473684,0.9621052631578947,,,,,,,
simgp_core_g75,random,9,1,0.13519650151412155,0.08308468164543226,0.915625,0.8542274052478134,0.8838612368024134,343,0.6694736842105263,0.3231578947368421,0.5652631578947368,0.7684210526315789,,,,,,,
physgp_core,random,9,1,0.17396769472571103,0.12118463240509114,0.8798449612403101,0.6618075801749271,0.7554076539101497,343,0.6663157894736842,0.3157894736842105,0.5652631578947368,0.7221052631578947,,,,,,,
physgp_rich,random,9,1,0.2126318434758428,0.1615804044519736,0.7811158798283262,0.5306122448979592,0.6319444444444445,343,0.7263157894736842,0.2905263157894737,0.5463157894736842,0.7873684210526316,,,,,,,
simgp_rich,random,9,1,0.07261853710361824,0.04350724261610865,0.982078853046595,0.7988338192419825,0.8810289389067525,343,0.9578947368421052,0.7526315789473684,0.9336842105263158,0.9621052631578947,,,,,,,
