model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose
simgp_timeblind,random,8,3,0.4477099477511752,1.0,0.5,0.6666666666666666,2,0.37037037037037035,,,,0.2504236245994775,1.0,0.9259259259259259,,,,,,
mean_of_samples,random,8,3,0.3381885615208774,1.0,0.0,0.0,2,0.0,,,,0.3743942240903922,0.0,0.0,,,,,,
simgp24,random,9,3,0.10502859039290406,0.3333333333333333,1.0,0.5,1,0.9615384615384616,0.7307692307692307,0.9615384615384616,0.9615384615384616,0.16165110401980606,0.0,1.0,0.1,0.1,1.0,1.15,0.9,0.95
simgp24_g75,random,9,3,0.06680391797073032,1.0,0.0,0.0,1,1.0,0.5769230769230769,1.0,1.0,,,,,,,,,
simgp_timeblind,random,9,3,0.48311930734504704,1.0,1.0,1.0,1,0.3076923076923077,,,,0.24885869284268303,1.0,0.9230769230769231,,,,,,
mean_of_samples,random,9,3,0.30826184650598965,1.0,0.0,0.0,1,0.0,,,,0.3998433660894487,0.0,0.0,,,,,,
simgp24,random,10,3,0.07532235994346284,0.5,1.0,0.6666666666666666,1,0.96,0.76,0.92,1.0,0.09189063412395765,0.0,1.0,0.1,0.1,1.0,1.15,0.9,0.95
simgp24_g75,random,10,3,0.06744471425666107,1.0,0.0,0.0,1,1.0,0.48,0.88,1.0,,,,,,,,,
simgp_timeblind,random,10,3,0.38937478208461856,1.0,1.0,1.0,1,0.32,,,,0.2509300965163667,1.0,0.84,,,,,,
mean_of_samples,random,10,3,0.29530678919300246,1.0,0.0,0.0,1,0.0,,,,0.41710557658439884,0.0,0.0,,,,,,
simgp24,random,11,3,0.039558691758365475,0.5,1.0,0.6666666666666666,1,1.0,0.7916666666666666,0.9583333333333334,1.0,0.09286077299007556,0.0,1.0,0.1,0.3,0.0,1.15,0.9,1.1
simgp24_g75,random,11,3,0.06387105430723343,1.0,0.0,0.0,1,0.9583333333333334,0.5,0.8333333333333334,1.0,,,,,,,,,
simgp_timeblind,random,11,3,0.38926331424584165,1.0,1.0,1.0,1,0.4166666666666667,,,,0.26637715098400594,1.0,0.875,,,,,,
