model,strategy,n,seed,rmse,mae,precision,recall,f1,n_true_viol,coverage90,coverage50,coverage80,coverage95,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose,recall_all
physgp_rich,random,5,2,0.16560901588525173,0.11263455676604667,1.0,1.0,1.0,0,0.5333333333333333,0.13333333333333333,0.36666666666666664,0.6666666666666666,,,,,,,
simgp_rich,random,5,2,0.08361927794522114,0.06258049483388532,1.0,1.0,1.0,0,1.0,0.7,0.9,1.0,,,,,,,
pinn_rich,random,5,2,0.24385725129212604,0.16966404844804656,1.0,1.0,1.0,0,0.3,0.16666666666666666,0.23333333333333334,0.3,,,,,,,
mean_of_samples,random,5,2,0.22705177415568614,0.1570711413366546,1.0,1.0,1.0,0,,,,,,,,,,,
nearest_sample,random,5,2,0.225161412027948,0.166523800486673,1.0,1.0,1.0,0,,,,,,,,,,,
decay_only,random,5,2,0.16569604869526755,0.11296487446987405,1.0,1.0,1.0,0,,,,,,,,,,,
simgp_core,random,6,2,0.08051640875209268,0.0578637160146479,1.0,1.0,1.0,0,0.9655172413793104,0.7586206896551724,0.9310344827586207,1.0,0.1,0.1,1.0,1.0,1.1,0.9,0.0
simgp_core_nogp,random,6,2,0.07759770518423816,0.05853618841360333,1.0,1.0,1.0,0,0.9655172413793104,0.7931034482758621,0.9655172413793104,1.0,,,,,,,
simgp_core_g75,random,6,2,0.0871780885675114,0.0558817847834211,1.0,1.0,1.0,0,0.8620689655172413,0.5517241379310345,0.7586206896551724,0.896551724137931,,,,,,,
physgp_core,random,6,2,0.15756353938128,0.10905359630673049,1.0,1.0,1.0,0,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.06896551724137931,,,,,,,
physgp_rich,random,6,2,0.15836487728186013,0.11024824476582712,1.0,1.0,1.0,0,0.5517241379310345,0.06896551724137931,0.41379310344827586,0.7241379310344828,,,,,,,
simgp_rich,random,6,2,0.08178351446035771,0.060213547084191216,1.0,1.0,1.0,0,1.0,0.7241379310344828,0.9310344827586207,1.0,,,,,,,
mean_of_samples,random,6,2,0.2180471059024244,0.1549355730301415,1.0,1.0,1.0,0,,,,,,,,,,,
nearest_sample,random,6,2,0.17715550285490092,0.1312124468437909,1.0,1.0,1.0,0,,,,,,,,,,,
decay_only,random,6,2,0.15760064533739443,0.10915105253039571,1.0,1.0,1.0,0,,,,,,,,,,,
