model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose
simgp24,uncertainty,3,0,0.06159778965813648,1.0,0.85,0.9189189189189189,40,1.0,0.7191011235955056,0.9887640449438202,1.0,0.11684678733697705,0.3548387096774194,0.9775280898876404,0.25,0.6,0.0,1.15,0.9,1.0
simgp24,uncertainty,4,0,0.08494110996413763,1.0,0.7692307692307693,0.8695652173913044,39,0.9772727272727273,0.6136363636363636,0.9431818181818182,1.0,0.15899461403480994,0.23333333333333334,0.9545454545454546,0.1,0.6,0.0,1.15,0.9,0.95
simgp24,uncertainty,5,0,0.07150895473911033,1.0,0.7894736842105263,0.8823529411764706,38,1.0,0.6091954022988506,0.9195402298850575,1.0,0.1047034523481539,0.4827586206896552,0.9540229885057471,0.25,0.6,0.5,1.15,1.0,0.95
simgp24,uncertainty,6,0,0.07303544535565355,1.0,0.8108108108108109,0.8955223880597014,37,0.9883720930232558,0.5813953488372093,0.9534883720930233,1.0,0.1024998328912207,0.39285714285714285,0.9767441860465116,0.25,0.6,0.0,1.15,1.0,1.0
simgp24,uncertainty,7,0,0.06723485576647745,1.0,0.8055555555555556,0.8923076923076924,36,1.0,0.6470588235294118,0.9882352941176471,1.0,0.09056629452305437,0.48148148148148145,0.9647058823529412,0.25,0.6,0.0,1.15,1.0,0.95
simgp24,uncertainty,8,0,0.056809971050574996,1.0,0.8285714285714286,0.90625,35,1.0,0.8214285714285714,0.9523809523809523,1.0,0.0851882276752881,0.38461538461538464,0.9523809523809523,0.55,0.6,1.0,0.85,1.1,1.1
simgp24,uncertainty,9,0,0.051462413974427856,1.0,0.8529411764705882,0.9206349206349206,34,0.9879518072289156,0.6626506024096386,0.927710843373494,1.0,0.06310903445388835,0.6923076923076923,0.9879518072289156,0.55,0.6,0.5,0.85,1.1,1.1
simgp24,uncertainty,10,0,0.05271429095642892,1.0,0.8181818181818182,0.9,33,0.9878048780487805,0.6707317073170732,0.9634146341463414,0.9878048780487805,0.07316734119870513,0.72,0.9634146341463414,0.1,0.6,1.0,0.85,1.0,0.95
simgp24,uncertainty,11,0,0.12938274855123108,0.9393939393939394,0.96875,0.9538461538461539,32,0.9876543209876543,0.4444444444444444,0.8148148148148148,1.0,0.22110409215913338,0.9583333333333334,0.8641975308641975,0.55,0.6,1.0,1.0,1.1,1.0
simgp24,uncertainty,12,0,0.1764096011314697,0.9117647058823529,1.0,0.9538461538461539,31,0.9125,0.3375,0.85,0.925,0.06076407106674986,0.9565217391304348,1.0,0.55,0.6,1.0,1.0,1.1,1.0
simgp24,uncertainty,13,0,0.13760927801162462,0.9354838709677419,0.9666666666666667,0.9508196721311476,30,0.9367088607594937,0.4177215189873418,0.8607594936708861,0.9873417721518988,0.23888277757475065,0.9545454545454546,0.8607594936708861,0.55,0.6,1.0,1.0,1.1,1.0
simgp24,uncertainty,14,0,0.16964678248328277,0.90625,1.0,0.9508196721311475,29,0.9102564102564102,0.34615384615384615,0.8205128205128205,0.9230769230769231,0.0646184495385097,0.9523809523809523,1.0,0.55,0.6,1.0,1.0,1.1,1.0
simgp24,uncertainty,15,0,0.08687892866367446,0.9310344827586207,0.9642857142857143,0.9473684210526316,28,0.987012987012987,0.6363636363636364,0.935064935064935,1.0,0.10688188674324853,0.95,1.0,0.55,0.6,1.0,1.0,1.1,1.0
simgp24,straddle,3,0,0.06159778965813648,1.0,0.85,0.9189189189189189,40,1.0,0.7191011235955056,0.9887640449438202,1.0,0.11684678733697705,0.3548387096774194,0.9775280898876404,0.25,0.6,0.0,1.15,0.9,1.0
simgp24,straddle,4,0,0.0508094868642782,1.0,0.8205128205128205,0.9014084507042254,39,1.0,0.7272727272727273,0.9886363636363636,1.0,0.08490978433867358,0.4666666666666667,1.0,0.7,0.6,1.0,1.0,1.1,1.05
