model,strategy,n,seed,rmse,mae,precision,recall,f1,n_true_viol,coverage90,coverage50,coverage80,coverage95,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose,recall_all
nearest_sample,random,9,6,0.19420840749735938,0.14849255160348682,0.4444444444444444,0.7272727272727273,0.5517241379310345,11,,,,,,,,,,,
decay_only,random,9,6,0.25702444537333397,0.2006994160700217,0.42857142857142855,0.2727272727272727,0.33333333333333326,11,,,,,,,,,,,
simgp_core,random,10,6,0.115597449963336,0.08231220934260282,0.9,0.8181818181818182,0.8571428571428572,11,0.9024390243902439,0.6463414634146342,0.8414634146341463,0.9512195121951219,0.1,0.6,1.0,0.85,1.1,1.05,0.8333333333333334
simgp_core_nogp,random,10,6,0.10410872129127913,0.08350670731783914,1.0,0.45454545454545453,0.625,11,0.8658536585365854,0.4146341463414634,0.7439024390243902,0.975609756097561,,,,,,,
simgp_core_g75,random,10,6,0.1376879881263324,0.10026235330110012,0.75,0.8181818181818182,0.7826086956521738,11,0.7560975609756098,0.5,0.6829268292682927,0.7804878048780488,,,,,,,
physgp_core,random,10,6,0.22390802066967314,0.15698148906256706,0.47368421052631576,0.8181818181818182,0.6,11,0.7195121951219512,0.3780487804878049,0.6707317073170732,0.7439024390243902,,,,,,,
physgp_rich,random,10,6,0.22691852970444612,0.16521056415732646,0.5625,0.8181818181818182,0.6666666666666666,11,0.8170731707317073,0.4878048780487805,0.7804878048780488,0.8414634146341463,,,,,,,
simgp_rich,random,10,6,0.13012735677129475,0.09649637471207913,0.8333333333333334,0.45454545454545453,0.5882352941176471,11,0.8292682926829268,0.6219512195121951,0.7926829268292683,0.9390243902439024,,,,,,,
pinn_rich,random,10,6,0.1527117923092973,0.11166572459709939,0.5833333333333334,0.6363636363636364,0.6086956521739131,11,0.2804878048780488,0.14634146341463414,0.25609756097560976,0.3902439024390244,,,,,,,
mean_of_samples,random,10,6,0.2704666290366704,0.21337808460210053,1.0,0.0,0.0,11,,,,,,,,,,,
nearest_sample,random,10,6,0.20652409485838968,0.15881629299353522,0.4444444444444444,0.7272727272727273,0.5517241379310345,11,,,,,,,,,,,
decay_only,random,10,6,0.25184867679693834,0.1957351719753494,0.42857142857142855,0.2727272727272727,0.33333333333333326,11,,,,,,,,,,,
simgp_core,random,11,6,0.10709677299740605,0.07975374750240011,0.8888888888888888,0.8,0.8421052631578948,10,0.9012345679012346,0.7283950617283951,0.8271604938271605,0.9506172839506173,0.25,0.6,1.0,0.85,1.1,1.1,0.8333333333333334
simgp_core_nogp,random,11,6,0.09712501177791964,0.07544403227786557,1.0,0.6,0.7499999999999999,10,0.9259259259259259,0.38271604938271603,0.7901234567901234,0.9876543209876543,,,,,,,
simgp_core_g75,random,11,6,0.13675444165926448,0.09996115021394228,0.8,0.8,0.8000000000000002,10,0.7283950617283951,0.49382716049382713,0.6666666666666666,0.7530864197530864,,,,,,,
physgp_core,random,11,6,0.22982725251136946,0.16190164620763406,0.8333333333333334,1.0,0.9090909090909091,10,0.7407407407407407,0.4567901234567901,0.6790123456790124,0.7654320987654321,,,,,,,
physgp_rich,random,11,6,0.2505601547525525,0.18502797724870232,0.6666666666666666,0.6,0.631578947368421,10,0.8024691358024691,0.5061728395061729,0.7160493827160493,0.8395061728395061,,,,,,,
simgp_rich,random,11,6,0.12128580839905564,0.0882085197020577,0.8571428571428571,0.6,0.7058823529411764,10,0.8641975308641975,0.7160493827160493,0.8024691358024691,0.9382716049382716,,,,,,,
mean_of_samples,random,11,6,0.26761987258253445,0.21094147637956542,1.0,0.0,0.0,10,,,,,,,,,,,
nearest_sample,random,11,6,0.1943986422047728,0.1424742227622694,0.3888888888888889,0.7,0.5,10,,,,,,,,,,,
decay_only,random,11,6,0.26448426808063424,0.20532665320658067,0.42857142857142855,0.3,0.3529411764705882,10,,,,,,,,,,,
simgp_core,random,12,6,0.10653694441315331,0.07833034836823749,1.0,0.8,0.888888888888889,10,0.8875,0.7625,0.85,0.975,0.25,0.6,1.0,0.85,1.1,1.1,0.8333333333333334
simgp_core_nogp,random,12,6,0.09758168803503586,0.07584485647851164,1.0,0.6,0.7499999999999999,10,0.9125,0.3875,0.7375,0.975,,,,,,,
simgp_core_g75,random,12,6,0.13733761650043003,0.10029731541489598,0.8,0.8,0.8000000000000002,10,0.7125,0.4875,0.675,0.75,,,,,,,
physgp_core,random,12,6,0.2280007967798359,0.16211172696088605,0.8333333333333334,1.0,0.9090909090909091,10,0.75,0.4625,0.7375,0.775,,,,,,,
physgp_rich,random,12,6,0.22863483523901507,0.15946805705728934,0.7692307692307693,1.0,0.8695652173913044,10,0.825,0.4625,0.725,0.875,,,,,,,
simgp_rich,random,12,6,0.12165829076661525,0.09219140376180446,0.7142857142857143,0.5,0.588235294117647,10,0.85,0.5875,0.8,0.95,,,,,,,
pinn_rich,random,12,6,0.1394531525375438,0.0997855236905745,1.0,0.4,0.5714285714285715,10,0.325,0.05,0.275,0.4,,,,,,,
mean_of_samples,random,12,6,0.26833754150476197,0.21030039725379396,1.0,0.0,0.0,10,,,,,,,,,,,
nearest_sample,random,12,6,0.1933065110265243,0.14144506869641113,0.3888888888888889,0.7,0.5,10,,,,,,,,,,,
decay_only,random,12,6,0.25697811248178676,0.19778129648669712,0.42857142857142855,0.3,0.3529411764705882,10,,,,,,,,,,,
